epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,277.19,1.02419,1.02075,0.41334,0.74935,1.06795,0.99015,1,0.995,0.68109,0.90743,0.91667,0.89701,0.77425,1.20366,1.45315,0.07327,0.65763,1.0597,0.000325175,0.000325175,0.000325175
72,285.452,1.0218,1.07021,0.378,0.73728,1.10103,0.99015,1,0.995,0.68109,0.90743,0.91667,0.89701,0.77425,1.20366,1.45315,0.07327,0.65763,1.0597,0.000322678,0.000322678,0.000322678
73,292.482,1.04121,1.05088,0.4192,0.78728,1.09486,0.91691,1,0.98885,0.64779,0.8405,0.91667,0.89864,0.77429,1.31544,1.30294,0.06677,0.64996,1.08567,0.00032018,0.00032018,0.00032018
74,297.6,1.04419,0.98357,0.47421,0.70432,1.09636,0.91691,1,0.98885,0.64779,0.8405,0.91667,0.89864,0.77429,1.31544,1.30294,0.06677,0.64996,1.08567,0.000317682,0.000317682,0.000317682
75,300.826,1.05863,1.05168,0.38544,0.77334,1.12957,0.98238,1,0.995,0.65586,0.89941,0.91667,0.89731,0.82856,1.22463,1.22615,0.05819,0.74735,1.09604,0.000315185,0.000315185,0.000315185
76,304.314,0.92164,0.86795,0.42444,0.71415,1.07851,0.91243,1,0.96962,0.60052,0.83529,0.91667,0.86005,0.76233,1.36119,1.32346,0.06273,0.69234,1.09207,0.000312688,0.000312688,0.000312688
77,307.502,0.94571,0.65047,0.33546,0.62533,1.04172,0.91243,1,0.96962,0.60052,0.83529,0.91667,0.86005,0.76233,1.36119,1.32346,0.06273,0.69234,1.09207,0.00031019,0.00031019,0.00031019
78,310.872,1.00601,0.75863,0.38631,0.68456,1.17238,1,0.99102,0.995,0.6647,0.97926,0.91667,0.92059,0.72001,1.1745,1.42276,0.05152,0.66743,1.06396,0.000307692,0.000307692,0.000307692
79,314.151,0.95469,0.71289,0.37034,0.73399,1.10234,0.98303,1,0.995,0.72863,0.76478,0.83333,0.82116,0.75398,1.0676,1.82299,0.06643,0.60847,0.97771,0.000305195,0.000305195,0.000305195
80,317.407,1.04351,1.14349,0.39454,0.71004,1.11882,0.98303,1,0.995,0.72863,0.76478,0.83333,0.82116,0.75398,1.0676,1.82299,0.06643,0.60847,0.97771,0.000302697,0.000302697,0.000302697
81,320.685,0.85991,1.08001,0.26217,0.60132,1.0159,0.99506,1,0.995,0.64524,0.91203,0.91667,0.91139,0.80015,1.24232,1.13386,0.05743,0.61746,1.03533,0.0003002,0.0003002,0.0003002
82,324.203,0.98302,0.96098,0.28778,0.65655,1.0612,0.99506,1,0.995,0.64524,0.91203,0.91667,0.91139,0.80015,1.24232,1.13386,0.05743,0.61746,1.03533,0.000297703,0.000297703,0.000297703
83,327.567,1.03857,0.74842,0.36377,0.72632,1.07603,0.99494,1,0.995,0.66377,0.82725,0.83333,0.76433,0.59921,1.19698,1.62259,0.06582,0.58509,1.05395,0.000295205,0.000295205,0.000295205
84,330.881,1.0009,0.77183,0.47364,0.76507,1.09913,0.99403,1,0.995,0.66773,0.90716,0.81566,0.77509,0.77509,1.13843,1.79897,0.05149,0.61245,1.03756,0.000292708,0.000292708,0.000292708
85,334.203,0.9509,0.91137,0.24906,0.66078,1.00097,0.99403,1,0.995,0.66773,0.90716,0.81566,0.77509,0.77509,1.13843,1.79897,0.05149,0.61245,1.03756,0.00029021,0.00029021,0.00029021
86,337.638,1.02255,0.59281,0.30581,0.6534,1.07258,0.9212,0.97559,0.98885,0.67996,0.8424,0.89226,0.9016,0.84009,1.13808,0.93943,0.04978,0.59448,0.99059,0.000287712,0.000287712,0.000287712
87,341.409,0.97927,0.44923,0.36565,0.64523,1.03477,0.99154,1,0.995,0.56625,0.90795,0.91667,0.89705,0.85055,1.42076,1.15398,0.05155,0.65121,1.14651,0.000285215,0.000285215,0.000285215
88,345.097,1.0601,0.59219,0.32316,0.71354,1.13267,0.99154,1,0.995,0.56625,0.90795,0.91667,0.89705,0.85055,1.42076,1.15398,0.05155,0.65121,1.14651,0.000282717,0.000282717,0.000282717
89,348.857,0.94985,0.57614,0.30517,0.60145,1.07659,0.99059,1,0.995,0.71223,0.90784,0.91667,0.89874,0.80752,0.98744,1.2781,0.05351,0.54652,0.9644,0.00028022,0.00028022,0.00028022
90,352.949,0.95672,0.50344,0.35083,0.68618,1.08117,0.99059,1,0.995,0.71223,0.90784,0.91667,0.89874,0.80752,0.98744,1.2781,0.05351,0.54652,0.9644,0.000277723,0.000277723,0.000277723
91,356.964,1.00525,0.67286,0.35984,0.63128,1.09413,0.98053,1,0.995,0.67677,0.89841,0.91667,0.90963,0.83458,1.11011,1.19196,0.04897,0.61159,0.98907,0.000275225,0.000275225,0.000275225
92,361.327,0.86457,0.50057,0.33263,0.63688,0.97507,0.97811,1,0.995,0.68134,0.89614,0.91667,0.91215,0.89799,1.15987,1.05188,0.04643,0.61055,0.99512,0.000272727,0.000272727,0.000272727
93,365.112,0.958,0.49183,0.32397,0.58835,1.03608,0.97811,1,0.995,0.68134,0.89614,0.91667,0.91215,0.89799,1.15987,1.05188,0.04643,0.61055,0.99512,0.00027023,0.00027023,0.00027023
