epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,767.377,0.91782,1.68611,1.14021,0.75997,1.12038,0.99501,1,0.995,0.80006,0.91187,0.91667,0.84819,0.2776,0.72679,2.85503,0.25389,0.59641,0.89646,0.0006238,0.0006238,0.0006238
40,788.038,0.87426,2.23828,0.86865,0.72972,1.0203,0.99594,1,0.995,0.77844,0.82941,0.83333,0.70032,0.26187,0.77194,2.89474,0.24424,0.59051,0.9068,0.0006139,0.0006139,0.0006139
41,808.284,1.09608,2.28373,1.10753,0.72788,1.18461,0.99594,1,0.995,0.77844,0.82941,0.83333,0.70032,0.26187,0.77194,2.89474,0.24424,0.59051,0.9068,0.000604,0.000604,0.000604
42,828.563,0.71622,2.25066,0.7576,0.56443,0.95099,0.99928,1,0.995,0.77458,0.8142,0.75,0.67825,0.2131,0.82482,3.00724,0.24732,0.61355,0.92481,0.0005941,0.0005941,0.0005941
43,848.672,0.66472,2.01048,0.74949,0.55309,0.93437,1,0.99923,0.995,0.79625,0.83234,0.83333,0.75955,0.18179,0.84126,3.17188,0.24912,0.59843,0.92207,0.0005842,0.0005842,0.0005842
44,870.033,0.67977,1.84071,0.67339,0.54735,0.95623,1,0.99094,0.995,0.76569,0.83185,0.82518,0.75913,0.272,0.84679,2.89709,0.21296,0.59413,0.92131,0.0005743,0.0005743,0.0005743
45,887.854,0.69829,1.95955,0.97604,0.59426,0.9363,1,0.99094,0.995,0.76569,0.83185,0.82518,0.75913,0.272,0.84679,2.89709,0.21296,0.59413,0.92131,0.0005644,0.0005644,0.0005644
46,905.777,0.76968,2.56038,0.84611,0.61798,0.95113,0.98875,1,0.995,0.75402,0.90614,0.91667,0.91134,0.44646,0.87804,2.47871,0.1864,0.56656,0.92668,0.0005545,0.0005545,0.0005545
47,924.21,0.78295,1.86637,0.95574,0.63364,0.97353,1,0.99453,0.995,0.73446,1,0.91321,0.91793,0.50124,0.88046,2.38943,0.18548,0.59582,0.94554,0.0005446,0.0005446,0.0005446
48,941.374,1.02829,2.06233,1.07931,0.8687,1.07371,1,0.98073,0.995,0.75425,1,0.9114,0.91748,0.4878,0.84105,2.42623,0.18428,0.60081,0.94276,0.0005347,0.0005347,0.0005347
49,958.596,0.63712,2.32926,0.62709,0.55114,0.89595,1,0.98073,0.995,0.75425,1,0.9114,0.91748,0.4878,0.84105,2.42623,0.18428,0.60081,0.94276,0.0005248,0.0005248,0.0005248
50,974.663,0.71179,2.39912,0.77579,0.59327,0.93155,0.96636,1,0.995,0.78137,0.99148,0.83333,0.91054,0.50115,0.84251,2.34197,0.18777,0.57336,0.94741,0.0005149,0.0005149,0.0005149
51,992.772,0.86388,1.82504,1.04293,0.64666,0.99184,0.99038,1,0.995,0.76375,0.90695,0.91667,0.91082,0.52423,0.85017,2.34991,0.19543,0.55457,0.94598,0.000505,0.000505,0.000505
52,1011.38,0.6825,2.36474,0.83792,0.57279,0.95081,0.99636,1,0.995,0.75894,0.91234,0.91667,0.91199,0.53077,0.84102,2.37694,0.19455,0.56237,0.94194,0.0004951,0.0004951,0.0004951
53,1028.37,0.87106,1.78664,0.95422,0.63253,1.09326,0.99636,1,0.995,0.75894,0.91234,0.91667,0.91199,0.53077,0.84102,2.37694,0.19455,0.56237,0.94194,0.0004852,0.0004852,0.0004852
54,1045.57,0.82272,2.25594,1.14052,0.75263,1.03642,0.99575,1,0.995,0.77219,0.82846,0.83333,0.82726,0.52243,0.84772,2.41006,0.18754,0.58441,0.93872,0.0004753,0.0004753,0.0004753
55,1061.36,0.77418,2.10022,0.89574,0.573,0.90657,0.99379,1,0.995,0.74873,0.74489,0.75,0.70825,0.48098,0.8395,2.55586,0.17551,0.58315,0.93609,0.0004654,0.0004654,0.0004654
56,1077.71,0.72922,1.90026,0.8166,0.53854,0.92026,0.99382,1,0.995,0.77318,0.81457,0.73346,0.7145,0.43864,0.80935,2.75427,0.14851,0.58419,0.93699,0.0004555,0.0004555,0.0004555
57,1097.7,0.72777,2.0426,0.70576,0.59552,0.94064,0.99382,1,0.995,0.77318,0.81457,0.73346,0.7145,0.43864,0.80935,2.75427,0.14851,0.58419,0.93699,0.0004456,0.0004456,0.0004456
58,1114.75,0.77624,1.75577,1.03469,0.61035,0.97247,0.99412,1,0.995,0.80884,0.82833,0.83333,0.8007,0.47511,0.7548,2.68571,0.14538,0.52937,0.92851,0.0004357,0.0004357,0.0004357
59,1132.17,0.74178,1.80508,0.88748,0.58149,0.91941,0.9947,1,0.995,0.82424,0.82882,0.83333,0.81665,0.5355,0.71577,2.39638,0.15451,0.50928,0.92769,0.0004258,0.0004258,0.0004258
60,1148.44,0.67894,1.4111,0.79663,0.61758,0.93643,0.99611,1,0.995,0.84358,0.91289,0.91667,0.88679,0.58548,0.71073,2.1736,0.1613,0.52917,0.93223,0.0004159,0.0004159,0.0004159
61,1164.79,0.77933,1.76177,0.71829,0.59044,0.98432,0.99611,1,0.995,0.84358,0.91289,0.91667,0.88679,0.58548,0.71073,2.1736,0.1613,0.52917,0.93223,0.000406,0.000406,0.000406
62,1181.66,0.6421,1.78588,0.71663,0.5381,0.93125,0.99694,1,0.995,0.80465,0.91352,0.91667,0.86831,0.61039,0.75943,2.06215,0.15828,0.52787,0.95612,0.0003961,0.0003961,0.0003961
63,1197.84,0.68246,1.40003,0.97706,0.58805,0.94209,0.99608,1,0.995,0.80297,0.91266,0.91667,0.87048,0.62128,0.76918,2.07345,0.15478,0.52508,0.93181,0.0003862,0.0003862,0.0003862
64,1214.56,0.69623,1.53757,0.9315,0.5408,0.93837,0.99604,1,0.995,0.78836,0.91266,0.91667,0.86381,0.60261,0.7684,2.05912,0.14787,0.52898,0.90575,0.0003763,0.0003763,0.0003763
65,1230.67,0.69194,1.68969,1.03956,0.58376,0.99649,0.99604,1,0.995,0.78836,0.91266,0.91667,0.86381,0.60261,0.7684,2.05912,0.14787,0.52898,0.90575,0.0003664,0.0003664,0.0003664
66,1246.76,0.67008,1.49728,1.18099,0.57662,0.93795,0.99614,1,0.995,0.77449,0.91291,0.91667,0.86381,0.59095,0.79293,2.05006,0.14936,0.51354,0.89976,0.0003565,0.0003565,0.0003565
67,1263.25,0.66615,1.77638,0.79346,0.51286,0.92463,0.99626,1,0.995,0.76922,0.91293,0.91667,0.86147,0.57161,0.82135,2.05129,0.1553,0.51376,0.91067,0.0003466,0.0003466,0.0003466
68,1279.19,0.56377,1.74637,0.80295,0.5043,0.9165,0.9962,1,0.995,0.7639,0.91288,0.91667,0.85992,0.57101,0.83546,2.01549,0.16016,0.50074,0.92941,0.0003367,0.0003367,0.0003367
